	UPOS_parent	DEPREL_child	UPOS_child	direction	counts	surface_order_parent/child_forms	arabic_example	example_freq		Final	Nizar-Grammar	in paper		100.00%								
72	PROP	OBJ	NOM	P-C	15	Almstwfyn ... Al$rwT	المستوفين ... الشروط	1		OK	OK		4 - متابعة العمل ل+ إقرار مطالب الهيئة التعليمية المزمنة , و+ في طليعة +ها : إدخال الأساتذة المستوفين الشروط القانونية و+ الأكاديمية إلى الملاك , أنصاف المتعاقدين ب+ الساعة و+ الذين يحق ل +هم التفرغ , أنصاف حملة الدكتوراه - الحلقة الثالثة , إقرار مشروع قانون المحسومات التقاعدية في مجلس النواب , و+ تطبيق نظام الأبحاث الرقم 126 في انتظار تطوير +ه لاحقا .									
413	PRT#	OBJ	VRB#	P-C	26	w+ ... dAryn+	و+ ... دارين+	2		NO WAY	#N/A		و+ يحظى غرين , حامل الرقم القياسي العالمي في سباق ال 100 متر و+ هو 9.79 ثوان , ب+ الاهتمام الأكبر في أول ظهور ل +ه في هذا السباق بعد بطولة العالم في آب الماضي , و+ هو س+ يواجه مواطني +ه جون دروموند و+ جوشوا+ جونسون و+ مآت+ شيرفينغتون و+ برنارد وليامس و+ دارين+ كامبل .									
124	VRB	SBJ	NOM#	C-P	25	hm+ ... yEArDwn	هم+ ... يعارضون	2		NO WAY	#N/A		تطرق أحد رؤساء التحرير إلى التيار الإسلامي في الكويت , و+ طالب الحكومة ب+ تحجيم +ه , رفض الشيخ صباح قائلا إن بعض الصحف " جعل من الإسلاميين بعبعا , و+ هذا غير صحيح , أنا متأكد أن ليس ل+ الإسلاميين الكويتيين اتصال ب+ جهات خارجية متطرفة , و+ إن استثنيا عناصر شاذة لا تذكر " . و+ لام الشيخ صباح , المعروف ب+ آراء +ه الليبرالية , الصحف الليبرالية التي " تؤذي الإسلاميين و+ تشتم +هم من دون وجه حق , و+ لقد جربنا الإسلاميين و+ تعاملنا مع +هم ك+ وزراء في الحكومة و+ أعضاء في مجلس الأمة ( البرلمان ) و+ لم نر في +هم ما يكتب +ه البعض في الصحف " . و+ اعتبر أن " الإسلاميين يقومون ب+ دور إيجابي في تأمين التوازن الاجتماعي في الكويت " , مشيرا إلى عدم رضا +ه عن تنامي بعض المظاهر غير الأخلاقية و+ الواردة من الخارج التي وصف +ها إن+ ها+ " انحلال " , و+ قال : " من حق الإسلاميين أن يطرحوا آراء +هم تجاه ذلك , ـ و+ من حق +هم أن يقولوا إن+ هم+ يعارضون الاختلاط في الجامعة مثل +ما أن من حق الآخرين أن يؤيدوا هذا الاختلاط " .									
225	PNX-B	MOD	PROP	P-C	23	, ... n	, ... ن	2		NO WAY	#N/A		پرتcل , سغنeد ن ضمسcس بي تهe تو پرeمeرس ن 1987 , " سد تهe فرست غرeeمeنت . و+ تابعت المصادر الرسمية السورية أن الاتفاق الثاني نص على " التعاون ل+ إعادة المهاجرين ب+ صورة غير مشروعة , انطلاقا من تصميم الجانبين على تطوير التعاون بين +هما في حفظ الأمن على حدود +هما المشتركة , و+ منع الانتقال غير المشروع ل+ الأشخاص بين البلدين " .									
56	NOM#	MOD	NOM	P-C	21	AlwdAd+ ... Almgrby	الوداد+ ... المغربي	2		NO WAY	#N/A		و+ فضلا عن الفرق السعودية الأربعة , شارك في البطولة أيضا كل من الريان القطري و+ الوداد+ البيضاوي المغربي و+ القادسية الكويتي و+ المحرق+ البحريني و+ المريخ السوداني .									
260	VRB#	---	PROP	P-C	18	r>ft+ ... Ely	رأفت+ ... علي	2		NO WAY	#N/A		و+ سجل هيثم سمرين ( 60 ) و+ عوض راغب ( 69 ) و+ محمود شلباية ( 74 ) و+ رأفت+ علي حمود ( 83 ) أهداف الوحدات , و+ حمد الهندواي ( 58 ) و+ جوزيف حتر ( 76 ) هدفي الفحيص .									
430	VRB	OBJ	VRB-PASS	P-C	18	*krt ... qtlwA	ذكرت ... قتلوا	2		OK	#N/A		لاغوس 15-7 ( أف ب ) - ذكرت الشرطة النيجيرية اليوم السبت أن ما لا يقل عن 12 شخصا قتلوا في مواجهات استمرت يومين في سوق في لاغوس بين تجار و+ زقاقيين .									
10	PROP	IDF	#NOM	P-C	12	tHmyt ... +hA	تحميت ... +ها	2		NO WAY	OK		و+ إذا كانت منطقة الشرق الأوسط و+ الخليج تشكل مسرح العمليات الأميركية , التي تتم تحميت +ها الآن عشية ضرب العراق , الذي يشكل بداية زلزال لا يعرف أحد مدى +ه , ف+ إن انعقاد القمة الفرنكوفونية في بيروت , على خلفية المعارضة الصريحة و+ الشاملة ل+ قيام أميركا ب+ توجيه هذه الضربة , و+ على خلفية الاعتراض الفرنسي الأكثر صراحة و+ صرامة , و+ قد وصل إلى حدود الحديث عن استعمال " حق الفيتو " في مجلس الأمن , ل+ الحيلولة دون حصول أميركا على قرار يعطي +ها حقا تلقائيا ب+ توجيه ضربة إلى العراق , هذا الانعقاد ب+ ذات +ه , يكتسب أهمية تاريخية حتى لو لم تقم واشنطن ( و+ هي لن تقيم ) أي اعتبار ل+ محتوى " إعلان بيروت " الفرنكوفوني العتيد .									
58	PNX-AB	---	NOM	P-C	17	- ... myn	- ... مين	2		NO WAY	#N/A		و+ في البادمنتون , فاز الكوريان الجنوبيان لي دونغ - سو و+ يو+ يونغ - سونغ على التايلانديين تيسانا بانفيسافاس و+ براموتي+ تيراويواتانا 15- , 11 15-6 في نهائي الزوجي ل+ الرجال , و+ الكوريتان الجنوبيتان را كيونغ - مين و+ لي+ كيونغ - وون على الصينيتين غاو لينغ و+ هوانغ+ سوي 11- , 8 11-7 في نهائي الزوجي ل+ السيدات .									
91	PRT#	MOD	NOM	C-P	17	dA}mA ... l+	دائما ... ل+	2		NO WAY	#N/A		الاعتداء على الحقيقة و+ الواقع , و+ العنف ضد الوعي ب+ حرف +ه عن هذه الحقيقة و+ ذلك الواقع . و+ ل+ أن عملية السلام ك+ ذلك , كان ل+ أبد من إخراج +ها من الأمم المتحدة , و+ جعل +ها تحت وصاية الولايات المتحدة . و+ إذا ما حاول الفلسطينيون مقاومة هذا العنف ف+ إن تهمة الإرهاب ل +هم ب+ المرصاد . و+ لا ينبغي ل +نا أن نستغرب ذلك , ل+ أن الإرهاب في عصر +نا الحالي تحول إلى أيديولوجيا . و+ الأيديولوجيا هي دائما ل+ التبرير , و+ التضليل .									
65	PNX-B	MOD	NOM	P-C	16	) ... AlmADy	) ... الماضي	2		NO WAY	#N/A		دخل قطاع السياحة المصرية مرحلة بالغة الحساسية في ضوء ما يجري من أحداث في المنطقة و+ بات على المعنيين تدارك الموقف ب+ صورة عاجلة حتى لا تضاف أعباء جديدة إلى الأعباء السابقة التي نتجت عن أحداث ( سبتمبر ) الماضي و+ أدت إلى خسارة في القطاع تتجاوز 2.5 بليون دولار .									
270	PROP	MOD	PROP#	P-C	15	<ylyA ... $krAllh+	إيليا ... شكرالله+	2		NO WAY	#N/A		و+ قد عرفت ب+ هذا الاسم " الفوارة " ل+ وفرة المياه في +ها و+ كثرة ينابيع +ها , و+ هناك من يقول أن أصل اسم +ها ( معنى +ه ب+ الأرمنية معصرة العنب ) و+ تبعد عن بيروت نحو 50 كيلومترا , و+ يبلغ عدد سكان +ها نحو 1200 نسمة من عائلات إيليا و+ طانيوس+ و+ أبي حبيب و+ توما و+ رعد+ و+ منصور و+ نجار و+ عيد+ و+ شكرالله+ و+ بشارة و+ فضل الله و+ كامل و+ يوسف .									
419	NOM	IDF	VRB-PASS	P-C	15	HAl ... Tlb	حال ... طلب	2		NO WAY	#N/A		و+ قال مسؤول في البنتاغون رفض الكشف عن هوية +ه أن موسكو لم تقدم بعد طلبا رسميا ب+ المساعدة , و+ لكن +ها تستطلع رأي الدول الأعضاء في الحلف عن المساعدة التي يمكن أن تقدم +ها ل +ها في حال طلب من +ها ذلك .									
408	VRB-PASS	OBJ	VRB	P-C	13	yEqd ... yDm	يعقد ... يضم	2		OK	#N/A		و+ س+ يعقد اجتماع اليوم السبت يضم الجهاز الفني و+ اللاعبين ل+ تحليل نتائج الروس في نهائيات كأس العالم .									
259	VRB	TPC	PROP	C-P	11	$hryAr ... tj*b	شهريار ... تجذب	1		OK	OK		" شهريار " تجذب +ه السلطة الأفرادية .									
13	PRT	SBJ	#NOM	C-P	12	+h ... mn	+ه ... من	2		NO WAY	#N/A		و+ أكد أن +ه " من المستحيل عمليا أن تلتحم سفينة ب+ فتحة الإنقاذ في مثل هذا الانحناء " .									
373	NOM	SBJ	VRB	C-P	11	yHml ... EbArAt	يحمل ... عبارات	2		NO WAY	#N/A		" الآن يحمل كل عربي قلبا فلسطينيا و+ طريق فلسطين لا يمر إلا من فلسطين " , عبارات قال +ها الشاعر الفلسطيني محمود درويش أمس و+ دوت في مدينة كميل شمعون الرياضية وسط عشرين ألف لبناني و+ فلسطيني أتوا ل+ يعلنوا تضامن +هم مع صمود الشعب الفلسطيني في " يوم فلسطين في لبنان " حاصر حصار +ك " الذي دعا إلى +ه ناشر جريدة السفير الزميل طلال سلمان و+ الذي أحيا +ه الشاعر ب+ مشاركة الفنانة ماجدة الرومي و+ الفنان أحمد قعبور .									
180	#NOM	MOD	PNX-B	P-C	10	+h ... ,	+ه ... ,	2		OK	#N/A		الذين عرفوا بدر شاكر السياب في بيروت ( أو في سوى +ها ) يتذكرون +ه نحيلا , أهيف , خجولا , يقرأ الشعر ب+ رتابة , و+ صوت غير ذي حضور , من +ما كان يفقد +ه الكثير من إيصال عمق شعر +ه و+ وساعه الآفاق في صور +ه الشعرية .									
369	NOM	MOD	VRB	C-P	10	>wl ... TrH	أول ... طرح	1		NO WAY	OK		و+ جاءت الأبحاث ل+ تمثل أول طرح فكري ل+ مستقبل الحركات الإسلامية الراديكالية بعد أحداث سبتمبر الماضي , و+ تأتي أهمية +ها من كون +ها صدرت عن قادة أكبر تنظيم راديكالي في مصر , اضطلع عناصر +ه ب+ أكثر من 90 % من عمليات العنف التي وقعت داخل البلاد في عقد التسعينات بدءا من اغتيال رئيس مجلس الشعب السابق الدكتور رفعت المحجوب في أكتوبر 1990 و+ حتى مذبحة الأقصر التي وقعت في نوفمبر 1997 .									
224	PNX-B	MOD	PROP	C-P	10	* ... :	ذ ... :	2		NO WAY	#N/A		ذ عن مركز النقيب :									
145	VRB-PASS	MOD	PNX-A	C-P	10	( ... n$rt	( ... نشرت	3		OK	OK		شارك من لبنان الكاردينال موسى داوود ( رئيس مجمع الكنائس الشرقية في الفاتيكان ) و+ المطرانان غفرائيل الصليبي و+ بولس+ مطر و+ السادة غسان تويني ( نشرت مداخلة +ه في " النهار " ) و+ محمد السماك و+ سعود المولى و+ عباس الحلبي و+ هاغوب+ بقرادونيان .									
264	VRB-PASS	MOD	PROP	P-C	10	ydEY ... jAn	يدعى ... جان	2		OK	OK		عند +ما تعاقدت مع +ه الدولة الفرنسية عام , 1937 و+ كان في التاسعة و+ الثلاثين , ل+ يصمم تمثالا نصفيا ل+ الرمز الجمهوري الفتاة " ماريان " , لم يكن النحات بول بلموندو - المقيم يومذاك في باريس آتيا من الجزائر حيث ولد في 1898 - الوالد المغمور ل+ ابن يدعى جان بول بلموندو و+ يطفو على نجومية ساطعة في عالمية المسرح و+ السينما , كان مجرد نحات شاب , جذاب و+ رصين , و+ مشهود ل +ه ب+ المتانة الحرفية المعقودة على القواعد المتداولة في المحترفات ذات النزعة الأكاديمية و+ الميول الكلاسيكية , و+ إلى ذلك حاضر و+ مقنع و+ ذو عصب في الوسط الفني ل+ مدينة ( باريس ) تعيش أعنف المعارك حتى ضمن العنوان الواحد ك+ ما هي الحال بين من يتبع في النحت النهج التعبيري الذي أطلق +ه المعلم رودان المخلص ل+ القيم الجمالية المحافظة جدا التي استعادت بعد انحسار جزئي أمام تيارات الحداثة بعض بريق +ها مع المعلم بورديل , و+ من +ه مع شارل ديسبيو , إلى بول بلموندو .									
250	PRT#	SBJ	PROP	P-C	9	b+ ... <yrAn	ب+ ... إيران	1		OK	OK		و+ أضاف أن ما يجري عزز قيادة الرئيس ياسر عرفات , و+ لم يبق أي شك ب+ أن +ه " رمز المقاومة و+ الانتفاضة و+ العزة و+ القوة في فلسطين . و+ هذه حقيقة صارت واضحة ل+ الجميع ب+ من في +هم إيران " .									
125	VRB	TPC	NOM#	C-P	10	h+ ... tm	ه+ ... تم	2		NO WAY	#N/A		و+ عن المدى الزمني ل+ استهلاك القرض قال إن+ ه+ تم الاتفاق على سداد كامل الدين بعد ثلاث سنوات , مشيرا إلى أن +ها مدة زمنية طويلة نسبيا ل+ الاستخدام في التسهيلات قصيرة الأمد , ما يمنح " بنك مصر الدولي " ميزة إضافية , تتمثل في إمكان تدوير القرض أكثر من مرة خلال الفترة المذكورة ما يخفض مجددا سعر الفائدة الذي حصل على +ه حيث تتناقص نسبة الفائدة " نتيجة اكتمال الدورة الرأسمالية ب+ شكل تراكمي أكثر من مرة " .									
108	VRB#	MOD	NOM	P-C	9	r>ft+ ... 83	رأفت+ ... 83	2		NO WAY	#N/A		و+ سجل هيثم سمرين ( 60 ) و+ عوض راغب ( 69 ) و+ محمود شلباية ( 74 ) و+ رأفت+ علي حمود ( 83 ) أهداف الوحدات , و+ حمد الهندواي ( 58 ) و+ جوزيف حتر ( 76 ) هدفي الفحيص .									
367	NOM	---	VRB	P-C	9	>$ly ... t>byn	أشلي ... تأبين	2		NO WAY	#N/A		و+ لدى السيدات , تفوقت بطلة العالم جيني طومسون على المخضرمة دارا توريس ( 33 عاما ) في سباق 100 م حرة و+ قطعت المسافة ب+ زمن 07 ر 54 ثانية , مقابل 62 ر 54 ثانية ل+ الأخيرة التي حلت ثانية , في حين حجزت أشلي تأبين المركز الثالث ( 28 ر 55 ثانية ) .									
150	NOM	IDF	PNX-AB	P-C	8	$rkp ... "	شركة ... "	2		NO WAY	#N/A		أطلقت جمعية الصناعيين اللبنانيين أمس حملة إعلامية و+ إعلانية ب+ التعاون مع وزارة الصناعة تنفذ +ها شركة " / " تهدف إلى كسب ثقة المستهلك ب+ المنتجات اللبنانية , و+ بناء ولاء طويل الأمد ل +ها , و+ توجيه رسالة إلى أن المنتجات تنافسية في النوعية و+ التنوع , و+ أن الصادرات اللبنانية س+ تساهم في تحريك عجلة الاقتصاد الوطني و+ توفير فرص عمل جديدة .									
138	PROP	MOD	PNX-A	P-C	9	sy ... (	سي ... (	2		NO WAY	OK		و+ يعتبر " فوكس تيليفيجين " أكبر رابع شبكة تلفزيون أميركية , إلى جانب أي . بي . سي ( مجموعة والت ديزني ) , و+ إن . بي . سي ( جنرال إليكتريك ) و+ سي . بي . إس ( فياكوم ) . و+ يمتلك أيضا قناة إخبارية متواصلة تحمل اسم " فوكس نيوز " تنافس شبكة سي . إن . إن في الولايات المتحدة .									
7	NOM	TPC	#NOM	C-P	8	+h ... vmp	+ه ... ثمة	2		NO WAY	#N/A		و+ أشار إلى أن +ه في ظل البناء في لبنان , ثمة دمار في فلسطين حيث يقتل شعب ب+ أكمل +ه و+ يا ل+ الأسف الشديد على مرأى العالم أجمع و+ مسمع +ه , و+ استغرب كثيرا إذا ما وقف العالم متفرجا على ما يجري في فلسطين , الجريحة , إنما المؤسف أن الصمت العربي هو الذي يشجع العدو على استمرار +ه في هذه المجازر و+ المذابح و+ الدمار " .									
17	PRT#	SBJ	#NOM	C-P	7	+nA ... b+	+نا ... ب+	2		NO WAY	#N/A		( و+ في القدس قال الجيش الإسرائيلي اليوم الأحد أن +ه " يحقق " في ما أعلن +ه الأمين العام ل+ حزب الله عن أسر ضابط إسرائيلي ب+ رتبة عقيد . و+ أكد متحدث عسكري ل+ وكالة فرانس برس " أن +نا ب+ صدد التحقق لكن +نا لا نملك في الوقت الراهن أي عنصر يسمح ب+ تأكيد " الأمر .									
117	NOM	SBJ	NOM#	C-P	7	hA+ ... AnHlAl	ها+ ... انحلال	2		NO WAY	#N/A		تطرق أحد رؤساء التحرير إلى التيار الإسلامي في الكويت , و+ طالب الحكومة ب+ تحجيم +ه , رفض الشيخ صباح قائلا إن بعض الصحف " جعل من الإسلاميين بعبعا , و+ هذا غير صحيح , أنا متأكد أن ليس ل+ الإسلاميين الكويتيين اتصال ب+ جهات خارجية متطرفة , و+ إن استثنيا عناصر شاذة لا تذكر " . و+ لام الشيخ صباح , المعروف ب+ آراء +ه الليبرالية , الصحف الليبرالية التي " تؤذي الإسلاميين و+ تشتم +هم من دون وجه حق , و+ لقد جربنا الإسلاميين و+ تعاملنا مع +هم ك+ وزراء في الحكومة و+ أعضاء في مجلس الأمة ( البرلمان ) و+ لم نر في +هم ما يكتب +ه البعض في الصحف " . و+ اعتبر أن " الإسلاميين يقومون ب+ دور إيجابي في تأمين التوازن الاجتماعي في الكويت " , مشيرا إلى عدم رضا +ه عن تنامي بعض المظاهر غير الأخلاقية و+ الواردة من الخارج التي وصف +ها إن+ ها+ " انحلال " , و+ قال : " من حق الإسلاميين أن يطرحوا آراء +هم تجاه ذلك , ـ و+ من حق +هم أن يقولوا إن+ هم+ يعارضون الاختلاط في الجامعة مثل +ما أن من حق الآخرين أن يؤيدوا هذا الاختلاط " .									
395	PRT#	MOD	VRB	P-C	8	b+ ... ntwSl	ب+ ... نتوصل	1		OK	OK		و+ أضاف " أن +نا ب+ صدد بحث جدول الأعمال و+ حتى الآن , نعم , و+ هذا حقيقي , نحاول إنجاز شيء ما . و+ س+ نتوصل إلى ذلك " .									
120	PROP	MOD	NOM#	P-C	6	>nTwn ... wbyly+	أنطون ... وبيلي+	2		NO WAY	#N/A		خاض العديد من الدورات التدريبية في ألمانيا و+ إنكلترا و+ المجر و+ ماليزيا و+ عمل إلى جانب أفضل المدربين العالميين أمثال جويل سانتانا و+ فيرنك بوشكاش و+ هنري ميشال و+ أنطون بيتشنيك وبيلي+ ي+ بيكينغهام و+ إيلي بلاتشي و+ ميلان ماتشالا .									
377	PNX-AB	---	VRB	P-C	6	- ... >hdn	- ... أهدن	2		NO WAY	#N/A		انتقد وزير الصحة سليمان فرنجيه " عدم تجاوب العهد حيال مشاريع منطقة زغرتا - أهدن " واصفا إيا +ه ب+ أن +ه " العهد الذي قلنا جاء و+ جاء مع +ه الخير ( . . . ) و+ ما راح نكفي " .									
303	PRT	PRD	PRT	C-P	6	mn ... >n	من ... أن	2		NO WAY	#N/A		و+ يعقد مؤتمر مرسيليا اليوم و+ غدا و+ من المفترض أن يضم دول الاتحاد الأوروبي ال 15 ب+ الإضافة إلى 12 دولة من حوض المتوسط , بين +ها إسرائيل , لكن سوريا و+ لبنان يقاطعان +ه . و+ تهدف هذه الشراكة الأوروبية المتوسطية إلى دفع التعاون في مجالات الاقتصاد و+ الثقافة و+ السياسة , كما تهدف أيضا إلى إقامة السلام و+ الاستقرار في حوض المتوسط .									
146	VRB-PASS	MOD	PNX-A	P-C	7	>Eyd ... (	أعيد ... (	1		NO WAY	OK		أعيد فتح طريق بشرى ( " النهار " ) في نهاية الأسبوع عند مفترق طورزا , بعد انتهاء أشغال إزالة الردميات و+ الصخور التي كانت قد أقفلت +ها قبل زهاء أسبوع إثر حصول انهيار في الجبل المشرف على +ها .									
119	NOM#	OBJ	NOM#	P-C	5	w$yjy+ ... y+	وشيجي+ ... ي+	2		NO WAY	#N/A		بيروت 15-10 ( أ ف ب ) - في ما يلي ترتيب الهدافين في بطولة الأمم الآسيوية التي يستضيف +ها لبنان من 12 إلى 29 الحالي بعد تعادل إيران و+ تايلان+ 1-1 اليوم الأحد في بيروت في الجولة الثانية من منافسات المجموعة الأولى : - هدفان : حميد رضا إستيلي و+ علي دائي ( إيران ) هدف واحد : قحطان جثير و+ عدنان محمود ( العراق ) , و+ كريم باقري ( إيران ) , و+ لي يونغ بيو و+ نوه+ جونغ يون ( كوربا الجنوبية ) , و+ سو ماو زهن و+ فان زهي يي ( الصين ) , واتسوشي ياناغيساوا و+ ناوهيرو تاكاهارا و+ هيروتشي نانامي وشيجي+ ي+ أونو ( اليابان ) و+ محمد غلام ( قطر ) , و+ ميردجلال كاسيموف ( أوزبكستان ) , و+ ساكيسان بيتوراتانا ( تايلاند ) .									
268	NOM	MOD	PROP#	P-C	5	AlsAdp ... hAgwb+	السادة ... هاغوب+	2		NO WAY	#N/A		شارك من لبنان الكاردينال موسى داوود ( رئيس مجمع الكنائس الشرقية في الفاتيكان ) و+ المطرانان غفرائيل الصليبي و+ بولس+ مطر و+ السادة غسان تويني ( نشرت مداخلة +ه في " النهار " ) و+ محمد السماك و+ سعود المولى و+ عباس الحلبي و+ هاغوب+ بقرادونيان .									
384	PROP	MOD	VRB	C-P	7	|b ... >gsTs	آب ... أغسطس	3		OK	OK		و+ برأت لجنة التحكيم في الاتحاد الدولي أوتي من تهمة تناول المنشطات في 3 تموز / يوليو الماضي ل+ عدم وجود أدلة تثبت تعاطي +ها موادا ممنوعة أي بعد نحو 11 شهرا من آخر تجربة ل +ها في 7 آب / أغسطس 1999 في لقاء هيتشتل البلجيكي حيث أحرزت المركز الأول في سباقي 100 م ( 99 ر 10 ثوان ) و 200 م ( 43 ر 22 ث ) .									
423	PROP	MOD	VRB-PASS	P-C	7	gsAn ... n$rt	غسان ... نشرت	3		OK	OK		شارك من لبنان الكاردينال موسى داوود ( رئيس مجمع الكنائس الشرقية في الفاتيكان ) و+ المطرانان غفرائيل الصليبي و+ بولس+ مطر و+ السادة غسان تويني ( نشرت مداخلة +ه في " النهار " ) و+ محمد السماك و+ سعود المولى و+ عباس الحلبي و+ هاغوب+ بقرادونيان .									
383	PROP	IDF	VRB	P-C	5	bny ... >myh	بني ... أميه	2		NO WAY	#N/A		ف+ أول أمراء بني أميه , في الأندلس , هو عبد الرحمن بن معاوية بن هشام بن عبد الملك , و+ كان عبد الرحمن هاربا من أبي جعفر المنصور ! و+ أيضا نجد الحكم بن هشام , أحد أمراء الأندلس , كان المؤرخون العرب يصفون +ه ب+ أن +ه " طاغ مسرف و+ ل +ه آثار سوء قبيحة " .									
398	VRB	---	VRB	P-C	5	t$wy ... >wn	تشوي ... أون	2		NO WAY	#N/A		و+ أحرزت الكورية الجنوبية كو غي - هيون الميدالية الذهبية في التزحلق السريع على الجليد في مضمار قصير ل+ مسافة 1500 متر , إذ سجلت 2.31.581 دقيقتين متقدمة مواطنة +ها تشوي أون - كيونغ , 2.31.610 و+ البلغارية يفغينيا رادانوفا .2 .31 .723 و+ قالت كو : " ل+ أن +ها الألعاب الأولمبية , بذلت جهدا أكبر من ذي قبل .									
435	VRB-PASS	OBJ	VRB-PASS	P-C	5	tEd ... qyst	تعد ... قيست	2		NO WAY	#N/A		و+ ب+ دور +هم اشتكى السعوديون من أن الاستثمارات المصرية تعد متواضعة إذا ما قيست ب+ الاستثمارات السعودية في مصر , ف+ في حين أن استثمارات الأخيرة لا تزيد على 108 ملايين دولار تصل الاستثمارات السعودية في مصر إلى أكثر من بليون دولار .									
16	PRT#	OBJ	#NOM	P-C	5	w+ ... +h	و+ ... +ه	2		NO WAY	#N/A		و+ لكن مع القيود التي يفرض +ها الموعدان الثابت و+ المحتمل و+ مع التناقضات التي شهدنا +ها في واشنطن في الأيام الأخيرة - ب+ حيث يخرج شارون من لقاء +ه و+ بوش مرتاحا جدا بل منتصرا و+ يخرج وزير الخارجية السعودي الأمير سعود الفيصل من لقاء +ه و+ إيا +ه أيضا " سعيدا جدا " ب+ ما سمع - يزداد الحذر من مضمون خطة بوش المنتظرة و+ إمكانات تطبيق +ها .									
221	PNX-AB	MOD	PROP	P-C	4	" ... AfxArystw	" ... افخاريستو	2		NO WAY	#N/A		همست شاكرة : " افخاريستو , افخاريستو " .									
378	PNX-AB	MOD	VRB	P-C	4	" ... hyA	" ... هيا	2		NO WAY	#N/A		التفت إلى أصدقاء +ه من حول +ه مأخوذا ب+ تصرف السيدة , صديقة +ه منذ سنوات و+ شقيقة رئيس الجمهورية , التي استطردت ب+ إصرار : " هيا . . . هيا ? " .									
170	VRB	---	PNX-AB	P-C	4	>wn ... -	أون ... -	2		NO WAY	#N/A		و+ أحرزت الكورية الجنوبية كو غي - هيون الميدالية الذهبية في التزحلق السريع على الجليد في مضمار قصير ل+ مسافة 1500 متر , إذ سجلت 2.31.581 دقيقتين متقدمة مواطنة +ها تشوي أون - كيونغ , 2.31.610 و+ البلغارية يفغينيا رادانوفا .2 .31 .723 و+ قالت كو : " ل+ أن +ها الألعاب الأولمبية , بذلت جهدا أكبر من ذي قبل .									
37	VRB-PASS	MOD	#PRT	C-P	4	+lA ... ystgl	+لا ... يستغل	2		NO WAY	#N/A		و+ اعترف الوزير المصري , في الوقت ذات +ه , ب+ وجود مشاكل في التبادل التجاري بين السعودية و+ مصر , مطالبا " ب+ العدل " وفقا ل+ أسس شفافة و+ موضوعية ترفع من حجم التبادل التجاري . و+ طالب في السياق ذات +ه ب+ أن +لا يستغل موضوع المواصفات القياسية في تبرير الجوانب الحمائية .									
376	NOM#	---	VRB	P-C	3	nAdr+ ... skr	نادر+ ... سكر	2		NO WAY	#N/A		أحيت بشرى أمس ذكرى شبل عيسى الخوري نجل النائب قبلان عيسى الخوري , و+ أقيم في المناسبة قداس احتفالي في كنيسة مار سابا ترأس +ه النائب البطريركي الماروني على الجبة المطران فرنسيس البيسري و+ حضر النواب عيسى الخوري و+ جبران طوق و+ نايله+ معوض و+ نادر+ سكر و+ رئيس محكمة التمييز العسكرية طربيه رحمة و+ القائمقام أنطوان سلامة و+ قائد منطقة الشمال الإقليمية في قوى الأمن الداخلي العميد خضر قبيسي و+ وجوه شمالية .									
26	VRB	TPC	#NOM	C-P	6	+h ... bqy	+ه ... بقي	1		NO WAY	OK		ف+ قد كان ل " حماس " و " الجهاد " أكثر من 10 في المئة في الماضي , كما أن +ه بقي ل+ عرفات أكثر من 20 في المئة الآن , ل+ أن مثل هذه النسبة تعني الانقلاب .									
215	NOM	TPC	PROP	C-P	6	$Arwn ... mn	شارون ... من	1		OK	OK		لكن الراهن حاليا أن شارون هو من يملي جدول الأعمال على عملية التسوية و+ الحل السياسي ل+ المشكلة مع الفلسطينيين : من رحيل ياسر عرفات و+ مجيء زعامة فلسطينية بديلة , إلى إقامة دولة فلسطينية منزوعة السلاح , و+ الحديث عن اتفاقات مرحلية بعيدة المدى , إلى الاحتفاظ ب+ أحزمة أمنية في غور الأردن تمنع هذه الدولة من التواصل الإقليمي مع غير +ها من الدول العربية .									
77	PROP	TPC	NOM	C-P	6	mA ... yHznny	ما ... يحزنني	2		OK	OK		و+ قال أن ما نسب +ه إلى +ه مواطن +ه الأمين العام ل+ الاتحاد ميشال زن - روفينن من ارتكاب مخالفات و+ إساءة استعمال أموال الاتحاد " يحزنني أكثر من +ما يخيب +ني ( . . . ) إن هذه اتهامات خطيرة تساق إلى +ي , و+ خصوصا بعد سن +ي ال 27 من النشاط في اتحاد خدمت +ه أفضل ما أستطيع " .									
147	#NOM	MOD	PNX-AB	P-C	3	+h ... "	+ه ... "	2		OK	#N/A		بيروت 15-10 ( أ ف ب ) - اعتبر المدرب ناصر جوهر الذي كلف الإشراف على المنتخب السعودي ل+ كرة القدم بدلا من التشيكي ميلان ماتشالا المقال من منصب +ه اليوم الأحد , أن +ه " يعتز ب+ الثقة التي أوكلت إلى +ه ل+ إكمال المهمة في بطولة الأمم الآسيوية " .									
156	PNX-A	MOD	PNX-AB	P-C	3	( ... "	( ... "	2		NO WAY	#N/A		أعيد فتح طريق بشرى ( " النهار " ) في نهاية الأسبوع عند مفترق طورزا , بعد انتهاء أشغال إزالة الردميات و+ الصخور التي كانت قد أقفلت +ها قبل زهاء أسبوع إثر حصول انهيار في الجبل المشرف على +ها .									
